City ID,City Name,Cloudiness,Country,Humidity,Latitude,Temperature,Wind Speeds
3081752,Wladyslawowo,88.00%,PL,100.00%,54.7909,30.87,15.73
1528998,Yumen,8.00%,CN,38.00%,40.2917,36.09,13.49
1799869,Nanning,24.00%,CN,92.00%,22.8326,64.33,4.43
3661980,Tamandare,80.00%,BR,79.00%,-8.2789,75.13,5.66
3468720,Buritizeiro,12.00%,BR,66.00%,-17.3668,68.99,11.14
3354077,Opuwo,36.00%,NA,97.00%,-18.0559,60.49,1.86
58933,Garowe,0.00%,SO,80.00%,8.4061,65.14,7.23
3448903,Sao Joao da Barra,0.00%,BR,96.00%,-21.6403,77.86,15.28
625539,Malaryta,68.00%,BY,87.00%,51.7917,24.66,3.76
4011743,Constitucion,0.00%,MX,16.00%,23.9912,77.41,15.73
2729907,Longyearbyen,0.00%,NO,74.00%,78.2198,7.86,1.97
5961417,Husavik,64.00%,CA,97.00%,50.5623,31.33,5.44
2142316,Yeppoon,48.00%,AU,79.00%,-23.1349,84.2,11.03
2015306,Tiksi,64.00%,RU,75.00%,71.6366,9.88,7.45
3412093,Vestmannaeyjar,92.00%,IS,95.00%,63.4427,41.79,34.85
1264037,Malpe,0.00%,IN,90.00%,13.35,79.27,3.42
3667478,Tame,20.00%,CO,95.00%,6.4616,57.0,0.51
3870243,Taltal,0.00%,CL,91.00%,-25.408,50.77,2.08
4035715,Avarua,92.00%,CK,100.00%,-21.2078,75.4,12.03
1487332,Verkhnyaya Inta,68.00%,RU,62.00%,65.9884,-1.25,8.46
548791,Kichmengskiy Gorodok,64.00%,RU,86.00%,59.9921,10.94,2.86
2398430,Mimongo,92.00%,GA,99.00%,-1.6163,71.94,2.19
5962442,Goderich,12.00%,CA,46.00%,43.7407,38.44,19.3
6167817,Torbay,0.00%,CA,100.00%,47.6577,20.46,6.44
707451,Ivanivka,80.00%,UA,95.00%,46.9824,40.69,2.86
5915327,Cap-aux-Meules,0.00%,CA,100.00%,47.3821,28.09,7.45
964406,Port Shepstone,8.00%,ZA,96.00%,-30.7414,71.24,14.38
2742416,Barcelos,48.00%,PT,100.00%,41.5314,50.56,0.96
3668257,Saravena,36.00%,CO,75.00%,6.9564,68.63,2.19
3031582,Saint-Augustin,56.00%,FR,94.00%,44.8323,46.08,5.21
558487,Grivenskaya,92.00%,RU,94.00%,45.645,44.49,4.65
1790645,Xiamen,36.00%,CN,99.00%,24.4587,65.73,3.2
3394500,Morada Nova,76.00%,BR,97.00%,-5.0974,70.83,5.55
217389,Demba,32.00%,CD,93.00%,-5.469,73.47,3.53
1630662,Praya,48.00%,ID,100.00%,-8.7054,75.65,6.89
1252783,Yarada,0.00%,IN,100.00%,17.65,81.5,16.06
1796236,Shanghai,0.00%,CN,86.00%,31.2253,61.83,4.43
6096551,Pangnirtung,76.00%,CA,76.00%,66.149,10.87,8.9
934479,Grand Gaube,48.00%,MU,100.00%,-20.0064,75.56,8.79
64814,Bandarbeyla,20.00%,SO,100.00%,9.4942,79.05,13.49
1849831,Toyooka,12.00%,JP,70.00%,35.5464,67.84,3.53
1282256,Hithadhoo,56.00%,MV,100.00%,-0.6,84.04,1.97
6431379,Saint-Alexandre,20.00%,FR,68.00%,44.228,47.5,13.15
3873441,Los Rastrojos,0.00%,CL,71.00%,-34.4646,59.16,1.07
513328,Ozinki,0.00%,RU,87.00%,51.2,17.64,9.01
463838,Zelenoborskiy,12.00%,RU,71.00%,66.845,11.1,6.89
5826559,Green River,8.00%,US,75.00%,41.5291,33.13,6.22
1266330,Kokrajhar,68.00%,IN,97.00%,26.4004,63.34,8.23
5456049,Aztec,56.00%,US,58.00%,36.8221,53.19,4.99
1078553,Ampanihy,0.00%,MG,86.00%,-24.6942,59.38,2.75
3393692,Itarema,36.00%,BR,99.00%,-2.9248,72.81,2.53
2708365,Halmstad,88.00%,SE,100.00%,56.674,31.06,17.74
2013465,Verkhoyansk,20.00%,RU,68.00%,67.5527,14.36,2.19
2075265,Busselton,44.00%,AU,100.00%,-33.6445,64.72,8.34
2109528,Buala,44.00%,SB,93.00%,-8.1456,84.92,5.44
